STATISTIC,STATISTIC Label,TLIST(M1),Month,C02064V02491,Type of Milk,UNIT,VALUE
AKM02,Milk Sales (Dairy) for Human Consumption,198904,1989 April,15,Semi-skimmed milk,Million Litres,3.3
AKM02,Milk Sales (Dairy) for Human Consumption,198905,1989 May,1,All Milk,Million Litres,41.8
AKM02,Milk Sales (Dairy) for Human Consumption,198905,1989 May,12,Whole Milk,Million Litres,38
AKM02,Milk Sales (Dairy) for Human Consumption,198905,1989 May,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198905,1989 May,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,198905,1989 May,15,Semi-skimmed milk,Million Litres,3.4
AKM02,Milk Sales (Dairy) for Human Consumption,198906,1989 June,1,All Milk,Million Litres,42.9
AKM02,Milk Sales (Dairy) for Human Consumption,198906,1989 June,12,Whole Milk,Million Litres,38.9
AKM02,Milk Sales (Dairy) for Human Consumption,198906,1989 June,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198906,1989 June,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,198906,1989 June,15,Semi-skimmed milk,Million Litres,3.5
AKM02,Milk Sales (Dairy) for Human Consumption,198907,1989 July,1,All Milk,Million Litres,41.7
AKM02,Milk Sales (Dairy) for Human Consumption,198907,1989 July,12,Whole Milk,Million Litres,38.1
AKM02,Milk Sales (Dairy) for Human Consumption,198907,1989 July,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198907,1989 July,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,198907,1989 July,15,Semi-skimmed milk,Million Litres,3.3
AKM02,Milk Sales (Dairy) for Human Consumption,198908,1989 August,1,All Milk,Million Litres,42
AKM02,Milk Sales (Dairy) for Human Consumption,198908,1989 August,12,Whole Milk,Million Litres,38.3
AKM02,Milk Sales (Dairy) for Human Consumption,198908,1989 August,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198908,1989 August,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,198908,1989 August,15,Semi-skimmed milk,Million Litres,3.3
AKM02,Milk Sales (Dairy) for Human Consumption,198909,1989 September,1,All Milk,Million Litres,43.6
AKM02,Milk Sales (Dairy) for Human Consumption,198909,1989 September,12,Whole Milk,Million Litres,39.5
AKM02,Milk Sales (Dairy) for Human Consumption,198909,1989 September,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198909,1989 September,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,198909,1989 September,15,Semi-skimmed milk,Million Litres,3.7
AKM02,Milk Sales (Dairy) for Human Consumption,198910,1989 October,1,All Milk,Million Litres,41.2
AKM02,Milk Sales (Dairy) for Human Consumption,198910,1989 October,12,Whole Milk,Million Litres,37.2
AKM02,Milk Sales (Dairy) for Human Consumption,198910,1989 October,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198910,1989 October,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,198910,1989 October,15,Semi-skimmed milk,Million Litres,3.6
AKM02,Milk Sales (Dairy) for Human Consumption,198911,1989 November,1,All Milk,Million Litres,40
AKM02,Milk Sales (Dairy) for Human Consumption,198911,1989 November,12,Whole Milk,Million Litres,36.2
AKM02,Milk Sales (Dairy) for Human Consumption,198911,1989 November,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198911,1989 November,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,198911,1989 November,15,Semi-skimmed milk,Million Litres,3.5
AKM02,Milk Sales (Dairy) for Human Consumption,198912,1989 December,1,All Milk,Million Litres,42.4
AKM02,Milk Sales (Dairy) for Human Consumption,198912,1989 December,12,Whole Milk,Million Litres,38.3
AKM02,Milk Sales (Dairy) for Human Consumption,198912,1989 December,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198912,1989 December,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,198912,1989 December,15,Semi-skimmed milk,Million Litres,3.7
AKM02,Milk Sales (Dairy) for Human Consumption,199001,1990 January,1,All Milk,Million Litres,40.2
AKM02,Milk Sales (Dairy) for Human Consumption,199001,1990 January,12,Whole Milk,Million Litres,36.3
AKM02,Milk Sales (Dairy) for Human Consumption,199001,1990 January,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199001,1990 January,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199001,1990 January,15,Semi-skimmed milk,Million Litres,3.5
AKM02,Milk Sales (Dairy) for Human Consumption,199002,1990 February,1,All Milk,Million Litres,38.7
AKM02,Milk Sales (Dairy) for Human Consumption,199002,1990 February,12,Whole Milk,Million Litres,34.9
AKM02,Milk Sales (Dairy) for Human Consumption,199002,1990 February,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199002,1990 February,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199002,1990 February,15,Semi-skimmed milk,Million Litres,3.5
AKM02,Milk Sales (Dairy) for Human Consumption,199003,1990 March,1,All Milk,Million Litres,44.2
AKM02,Milk Sales (Dairy) for Human Consumption,199003,1990 March,12,Whole Milk,Million Litres,39.7
AKM02,Milk Sales (Dairy) for Human Consumption,199003,1990 March,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199003,1990 March,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199003,1990 March,15,Semi-skimmed milk,Million Litres,4.1
AKM02,Milk Sales (Dairy) for Human Consumption,199004,1990 April,1,All Milk,Million Litres,40.4
AKM02,Milk Sales (Dairy) for Human Consumption,199004,1990 April,12,Whole Milk,Million Litres,36.4
AKM02,Milk Sales (Dairy) for Human Consumption,199004,1990 April,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199004,1990 April,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199004,1990 April,15,Semi-skimmed milk,Million Litres,3.6
AKM02,Milk Sales (Dairy) for Human Consumption,199005,1990 May,1,All Milk,Million Litres,41.9
AKM02,Milk Sales (Dairy) for Human Consumption,199005,1990 May,12,Whole Milk,Million Litres,37.6
AKM02,Milk Sales (Dairy) for Human Consumption,199005,1990 May,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199005,1990 May,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199005,1990 May,15,Semi-skimmed milk,Million Litres,3.9
AKM02,Milk Sales (Dairy) for Human Consumption,199006,1990 June,1,All Milk,Million Litres,43.2
AKM02,Milk Sales (Dairy) for Human Consumption,199006,1990 June,12,Whole Milk,Million Litres,38.8
AKM02,Milk Sales (Dairy) for Human Consumption,199006,1990 June,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199006,1990 June,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199006,1990 June,15,Semi-skimmed milk,Million Litres,4
AKM02,Milk Sales (Dairy) for Human Consumption,199007,1990 July,1,All Milk,Million Litres,41.9
AKM02,Milk Sales (Dairy) for Human Consumption,199007,1990 July,12,Whole Milk,Million Litres,37.7
AKM02,Milk Sales (Dairy) for Human Consumption,199007,1990 July,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199007,1990 July,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199007,1990 July,15,Semi-skimmed milk,Million Litres,3.8
AKM02,Milk Sales (Dairy) for Human Consumption,199008,1990 August,1,All Milk,Million Litres,42.3
AKM02,Milk Sales (Dairy) for Human Consumption,199008,1990 August,12,Whole Milk,Million Litres,38.1
AKM02,Milk Sales (Dairy) for Human Consumption,199008,1990 August,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199008,1990 August,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199008,1990 August,15,Semi-skimmed milk,Million Litres,3.8
AKM02,Milk Sales (Dairy) for Human Consumption,199009,1990 September,1,All Milk,Million Litres,43.6
AKM02,Milk Sales (Dairy) for Human Consumption,199009,1990 September,12,Whole Milk,Million Litres,39
AKM02,Milk Sales (Dairy) for Human Consumption,199009,1990 September,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199009,1990 September,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199009,1990 September,15,Semi-skimmed milk,Million Litres,4.2
AKM02,Milk Sales (Dairy) for Human Consumption,199010,1990 October,1,All Milk,Million Litres,42.1
AKM02,Milk Sales (Dairy) for Human Consumption,199010,1990 October,12,Whole Milk,Million Litres,37.6
AKM02,Milk Sales (Dairy) for Human Consumption,199010,1990 October,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199010,1990 October,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199010,1990 October,15,Semi-skimmed milk,Million Litres,4.1
AKM02,Milk Sales (Dairy) for Human Consumption,199011,1990 November,1,All Milk,Million Litres,40.6
AKM02,Milk Sales (Dairy) for Human Consumption,199011,1990 November,12,Whole Milk,Million Litres,36.2
AKM02,Milk Sales (Dairy) for Human Consumption,199011,1990 November,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199011,1990 November,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199011,1990 November,15,Semi-skimmed milk,Million Litres,4
AKM02,Milk Sales (Dairy) for Human Consumption,199012,1990 December,1,All Milk,Million Litres,40.8
AKM02,Milk Sales (Dairy) for Human Consumption,199012,1990 December,12,Whole Milk,Million Litres,36.6
AKM02,Milk Sales (Dairy) for Human Consumption,199012,1990 December,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199012,1990 December,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199012,1990 December,15,Semi-skimmed milk,Million Litres,3.8
AKM02,Milk Sales (Dairy) for Human Consumption,199101,1991 January,1,All Milk,Million Litres,40.8
AKM02,Milk Sales (Dairy) for Human Consumption,199101,1991 January,12,Whole Milk,Million Litres,36.4
AKM02,Milk Sales (Dairy) for Human Consumption,199101,1991 January,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199101,1991 January,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199101,1991 January,15,Semi-skimmed milk,Million Litres,4
AKM02,Milk Sales (Dairy) for Human Consumption,199102,1991 February,1,All Milk,Million Litres,39.3
AKM02,Milk Sales (Dairy) for Human Consumption,199102,1991 February,12,Whole Milk,Million Litres,35
AKM02,Milk Sales (Dairy) for Human Consumption,199102,1991 February,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199102,1991 February,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199102,1991 February,15,Semi-skimmed milk,Million Litres,3.9
AKM02,Milk Sales (Dairy) for Human Consumption,199103,1991 March,1,All Milk,Million Litres,44
AKM02,Milk Sales (Dairy) for Human Consumption,199103,1991 March,12,Whole Milk,Million Litres,39.1
AKM02,Milk Sales (Dairy) for Human Consumption,199103,1991 March,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199103,1991 March,14,Skimmed Milk,Million Litres,0.5
AKM02,Milk Sales (Dairy) for Human Consumption,199103,1991 March,15,Semi-skimmed milk,Million Litres,4.4
AKM02,Milk Sales (Dairy) for Human Consumption,199104,1991 April,1,All Milk,Million Litres,41
AKM02,Milk Sales (Dairy) for Human Consumption,199104,1991 April,12,Whole Milk,Million Litres,36.5
AKM02,Milk Sales (Dairy) for Human Consumption,199104,1991 April,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199104,1991 April,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199104,1991 April,15,Semi-skimmed milk,Million Litres,4.1
AKM02,Milk Sales (Dairy) for Human Consumption,199105,1991 May,1,All Milk,Million Litres,42.5
AKM02,Milk Sales (Dairy) for Human Consumption,199105,1991 May,12,Whole Milk,Million Litres,37.8
AKM02,Milk Sales (Dairy) for Human Consumption,199105,1991 May,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199105,1991 May,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199105,1991 May,15,Semi-skimmed milk,Million Litres,4.3
AKM02,Milk Sales (Dairy) for Human Consumption,199106,1991 June,1,All Milk,Million Litres,44
AKM02,Milk Sales (Dairy) for Human Consumption,199106,1991 June,12,Whole Milk,Million Litres,39.3
AKM02,Milk Sales (Dairy) for Human Consumption,199106,1991 June,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199106,1991 June,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199106,1991 June,15,Semi-skimmed milk,Million Litres,4.3
AKM02,Milk Sales (Dairy) for Human Consumption,199107,1991 July,1,All Milk,Million Litres,42.3
AKM02,Milk Sales (Dairy) for Human Consumption,199107,1991 July,12,Whole Milk,Million Litres,37.6
AKM02,Milk Sales (Dairy) for Human Consumption,199107,1991 July,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199107,1991 July,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199107,1991 July,15,Semi-skimmed milk,Million Litres,4.3
AKM02,Milk Sales (Dairy) for Human Consumption,199108,1991 August,1,All Milk,Million Litres,42.3
AKM02,Milk Sales (Dairy) for Human Consumption,199108,1991 August,12,Whole Milk,Million Litres,37.7
AKM02,Milk Sales (Dairy) for Human Consumption,199108,1991 August,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199108,1991 August,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199108,1991 August,15,Semi-skimmed milk,Million Litres,4.2
AKM02,Milk Sales (Dairy) for Human Consumption,199109,1991 September,1,All Milk,Million Litres,43.5
AKM02,Milk Sales (Dairy) for Human Consumption,199109,1991 September,12,Whole Milk,Million Litres,38.4
AKM02,Milk Sales (Dairy) for Human Consumption,199109,1991 September,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199109,1991 September,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199109,1991 September,15,Semi-skimmed milk,Million Litres,4.7
AKM02,Milk Sales (Dairy) for Human Consumption,199110,1991 October,1,All Milk,Million Litres,41.7
AKM02,Milk Sales (Dairy) for Human Consumption,199110,1991 October,12,Whole Milk,Million Litres,36.8
AKM02,Milk Sales (Dairy) for Human Consumption,199110,1991 October,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199110,1991 October,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199110,1991 October,15,Semi-skimmed milk,Million Litres,4.5
AKM02,Milk Sales (Dairy) for Human Consumption,199111,1991 November,1,All Milk,Million Litres,41
AKM02,Milk Sales (Dairy) for Human Consumption,199111,1991 November,12,Whole Milk,Million Litres,36.1
AKM02,Milk Sales (Dairy) for Human Consumption,199111,1991 November,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199111,1991 November,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199111,1991 November,15,Semi-skimmed milk,Million Litres,4.5
AKM02,Milk Sales (Dairy) for Human Consumption,199112,1991 December,1,All Milk,Million Litres,43.1
AKM02,Milk Sales (Dairy) for Human Consumption,199112,1991 December,12,Whole Milk,Million Litres,37.9
AKM02,Milk Sales (Dairy) for Human Consumption,199112,1991 December,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,199112,1991 December,14,Skimmed Milk,Million Litres,0.4
AKM02,Milk Sales (Dairy) for Human Consumption,199112,1991 December,15,Semi-skimmed milk,Million Litres,4.8
AKM02,Milk Sales (Dairy) for Human Consumption,199201,1992 January,1,All Milk,Million Litres,43.3
AKM02,Milk Sales (Dairy) for Human Consumption,199201,1992 January,12,Whole Milk,Million Litres,37.2
AKM02,Milk Sales (Dairy) for Human Consumption,199201,1992 January,13,Skimmed and Semi-skimmed milk,Million Litres,6.1
AKM02,Milk Sales (Dairy) for Human Consumption,199201,1992 January,14,Skimmed Milk,Million Litres,0.5
AKM02,Milk Sales (Dairy) for Human Consumption,199201,1992 January,15,Semi-skimmed milk,Million Litres,5.5
AKM02,Milk Sales (Dairy) for Human Consumption,199202,1992 February,1,All Milk,Million Litres,41.3
AKM02,Milk Sales (Dairy) for Human Consumption,199202,1992 February,12,Whole Milk,Million Litres,35.3
AKM02,Milk Sales (Dairy) for Human Consumption,199202,1992 February,13,Skimmed and Semi-skimmed milk,Million Litres,6
AKM02,Milk Sales (Dairy) for Human Consumption,199202,1992 February,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199202,1992 February,15,Semi-skimmed milk,Million Litres,5.5
AKM02,Milk Sales (Dairy) for Human Consumption,199203,1992 March,1,All Milk,Million Litres,46.6
AKM02,Milk Sales (Dairy) for Human Consumption,199203,1992 March,12,Whole Milk,Million Litres,39.5
AKM02,Milk Sales (Dairy) for Human Consumption,199203,1992 March,13,Skimmed and Semi-skimmed milk,Million Litres,7.1
AKM02,Milk Sales (Dairy) for Human Consumption,199203,1992 March,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199203,1992 March,15,Semi-skimmed milk,Million Litres,6.4
AKM02,Milk Sales (Dairy) for Human Consumption,199204,1992 April,1,All Milk,Million Litres,42.4
AKM02,Milk Sales (Dairy) for Human Consumption,199204,1992 April,12,Whole Milk,Million Litres,36
AKM02,Milk Sales (Dairy) for Human Consumption,199204,1992 April,13,Skimmed and Semi-skimmed milk,Million Litres,6.4
AKM02,Milk Sales (Dairy) for Human Consumption,199204,1992 April,14,Skimmed Milk,Million Litres,0.5
AKM02,Milk Sales (Dairy) for Human Consumption,199204,1992 April,15,Semi-skimmed milk,Million Litres,5.9
AKM02,Milk Sales (Dairy) for Human Consumption,199205,1992 May,1,All Milk,Million Litres,43.6
AKM02,Milk Sales (Dairy) for Human Consumption,199205,1992 May,12,Whole Milk,Million Litres,37.1
AKM02,Milk Sales (Dairy) for Human Consumption,199205,1992 May,13,Skimmed and Semi-skimmed milk,Million Litres,6.6
AKM02,Milk Sales (Dairy) for Human Consumption,199205,1992 May,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199205,1992 May,15,Semi-skimmed milk,Million Litres,6
AKM02,Milk Sales (Dairy) for Human Consumption,199206,1992 June,1,All Milk,Million Litres,44.5
AKM02,Milk Sales (Dairy) for Human Consumption,199206,1992 June,12,Whole Milk,Million Litres,37.9
AKM02,Milk Sales (Dairy) for Human Consumption,199206,1992 June,13,Skimmed and Semi-skimmed milk,Million Litres,6.6
AKM02,Milk Sales (Dairy) for Human Consumption,199206,1992 June,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199206,1992 June,15,Semi-skimmed milk,Million Litres,6
AKM02,Milk Sales (Dairy) for Human Consumption,199207,1992 July,1,All Milk,Million Litres,43.4
AKM02,Milk Sales (Dairy) for Human Consumption,199207,1992 July,12,Whole Milk,Million Litres,37.1
AKM02,Milk Sales (Dairy) for Human Consumption,199207,1992 July,13,Skimmed and Semi-skimmed milk,Million Litres,6.3
AKM02,Milk Sales (Dairy) for Human Consumption,199207,1992 July,14,Skimmed Milk,Million Litres,0.5
AKM02,Milk Sales (Dairy) for Human Consumption,199207,1992 July,15,Semi-skimmed milk,Million Litres,5.8
AKM02,Milk Sales (Dairy) for Human Consumption,199208,1992 August,1,All Milk,Million Litres,43.5
AKM02,Milk Sales (Dairy) for Human Consumption,199208,1992 August,12,Whole Milk,Million Litres,37.3
AKM02,Milk Sales (Dairy) for Human Consumption,199208,1992 August,13,Skimmed and Semi-skimmed milk,Million Litres,6.2
AKM02,Milk Sales (Dairy) for Human Consumption,199208,1992 August,14,Skimmed Milk,Million Litres,0.5
AKM02,Milk Sales (Dairy) for Human Consumption,199208,1992 August,15,Semi-skimmed milk,Million Litres,5.7
AKM02,Milk Sales (Dairy) for Human Consumption,199209,1992 September,1,All Milk,Million Litres,45.8
AKM02,Milk Sales (Dairy) for Human Consumption,199209,1992 September,12,Whole Milk,Million Litres,38.9
AKM02,Milk Sales (Dairy) for Human Consumption,199209,1992 September,13,Skimmed and Semi-skimmed milk,Million Litres,6.9
AKM02,Milk Sales (Dairy) for Human Consumption,199209,1992 September,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199209,1992 September,15,Semi-skimmed milk,Million Litres,6.3
AKM02,Milk Sales (Dairy) for Human Consumption,199210,1992 October,1,All Milk,Million Litres,43.5
AKM02,Milk Sales (Dairy) for Human Consumption,199210,1992 October,12,Whole Milk,Million Litres,37
AKM02,Milk Sales (Dairy) for Human Consumption,199210,1992 October,13,Skimmed and Semi-skimmed milk,Million Litres,6.5
AKM02,Milk Sales (Dairy) for Human Consumption,199210,1992 October,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199210,1992 October,15,Semi-skimmed milk,Million Litres,6
AKM02,Milk Sales (Dairy) for Human Consumption,199211,1992 November,1,All Milk,Million Litres,42.3
AKM02,Milk Sales (Dairy) for Human Consumption,199211,1992 November,12,Whole Milk,Million Litres,35.9
AKM02,Milk Sales (Dairy) for Human Consumption,199211,1992 November,13,Skimmed and Semi-skimmed milk,Million Litres,6.4
AKM02,Milk Sales (Dairy) for Human Consumption,199211,1992 November,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199211,1992 November,15,Semi-skimmed milk,Million Litres,5.9
AKM02,Milk Sales (Dairy) for Human Consumption,199212,1992 December,1,All Milk,Million Litres,45
AKM02,Milk Sales (Dairy) for Human Consumption,199212,1992 December,12,Whole Milk,Million Litres,38.2
AKM02,Milk Sales (Dairy) for Human Consumption,199212,1992 December,13,Skimmed and Semi-skimmed milk,Million Litres,6.9
AKM02,Milk Sales (Dairy) for Human Consumption,199212,1992 December,14,Skimmed Milk,Million Litres,0.5
AKM02,Milk Sales (Dairy) for Human Consumption,199212,1992 December,15,Semi-skimmed milk,Million Litres,6.3
AKM02,Milk Sales (Dairy) for Human Consumption,199301,1993 January,1,All Milk,Million Litres,42.1
AKM02,Milk Sales (Dairy) for Human Consumption,199301,1993 January,12,Whole Milk,Million Litres,35.7
AKM02,Milk Sales (Dairy) for Human Consumption,199301,1993 January,13,Skimmed and Semi-skimmed milk,Million Litres,6.4
AKM02,Milk Sales (Dairy) for Human Consumption,199301,1993 January,14,Skimmed Milk,Million Litres,0.5
AKM02,Milk Sales (Dairy) for Human Consumption,199301,1993 January,15,Semi-skimmed milk,Million Litres,5.9
AKM02,Milk Sales (Dairy) for Human Consumption,199302,1993 February,1,All Milk,Million Litres,41
AKM02,Milk Sales (Dairy) for Human Consumption,199302,1993 February,12,Whole Milk,Million Litres,34.8
AKM02,Milk Sales (Dairy) for Human Consumption,199302,1993 February,13,Skimmed and Semi-skimmed milk,Million Litres,6.3
AKM02,Milk Sales (Dairy) for Human Consumption,199302,1993 February,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199302,1993 February,15,Semi-skimmed milk,Million Litres,5.7
AKM02,Milk Sales (Dairy) for Human Consumption,199303,1993 March,1,All Milk,Million Litres,46.8
AKM02,Milk Sales (Dairy) for Human Consumption,199303,1993 March,12,Whole Milk,Million Litres,39.5
AKM02,Milk Sales (Dairy) for Human Consumption,199303,1993 March,13,Skimmed and Semi-skimmed milk,Million Litres,7.3
AKM02,Milk Sales (Dairy) for Human Consumption,199303,1993 March,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199303,1993 March,15,Semi-skimmed milk,Million Litres,6.7
AKM02,Milk Sales (Dairy) for Human Consumption,199304,1993 April,1,All Milk,Million Litres,43.1
AKM02,Milk Sales (Dairy) for Human Consumption,199304,1993 April,12,Whole Milk,Million Litres,36.4
AKM02,Milk Sales (Dairy) for Human Consumption,199304,1993 April,13,Skimmed and Semi-skimmed milk,Million Litres,6.7
AKM02,Milk Sales (Dairy) for Human Consumption,199304,1993 April,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199304,1993 April,15,Semi-skimmed milk,Million Litres,6.1
AKM02,Milk Sales (Dairy) for Human Consumption,199305,1993 May,1,All Milk,Million Litres,43.5
AKM02,Milk Sales (Dairy) for Human Consumption,199305,1993 May,12,Whole Milk,Million Litres,36.8
AKM02,Milk Sales (Dairy) for Human Consumption,199305,1993 May,13,Skimmed and Semi-skimmed milk,Million Litres,6.7
AKM02,Milk Sales (Dairy) for Human Consumption,199305,1993 May,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199305,1993 May,15,Semi-skimmed milk,Million Litres,6.1
AKM02,Milk Sales (Dairy) for Human Consumption,199306,1993 June,1,All Milk,Million Litres,45.7
AKM02,Milk Sales (Dairy) for Human Consumption,199306,1993 June,12,Whole Milk,Million Litres,38.6
AKM02,Milk Sales (Dairy) for Human Consumption,199306,1993 June,13,Skimmed and Semi-skimmed milk,Million Litres,7.1
AKM02,Milk Sales (Dairy) for Human Consumption,199306,1993 June,14,Skimmed Milk,Million Litres,0.6
AKM02,Milk Sales (Dairy) for Human Consumption,199306,1993 June,15,Semi-skimmed milk,Million Litres,6.5
AKM02,Milk Sales (Dairy) for Human Consumption,199307,1993 July,1,All Milk,Million Litres,43.8
AKM02,Milk Sales (Dairy) for Human Consumption,199307,1993 July,12,Whole Milk,Million Litres,37.2
AKM02,Milk Sales (Dairy) for Human Consumption,199307,1993 July,13,Skimmed and Semi-skimmed milk,Million Litres,6.6
AKM02,Milk Sales (Dairy) for Human Consumption,199307,1993 July,14,Skimmed Milk,Million Litres,0.5
AKM02,Milk Sales (Dairy) for Human Consumption,199307,1993 July,15,Semi-skimmed milk,Million Litres,6
AKM02,Milk Sales (Dairy) for Human Consumption,199308,1993 August,1,All Milk,Million Litres,43.1
